metrado_id,obrero_id
43a0f7ac-7765-4652-b72f-4b086e807e90,2bab47cf-8ecc-4f0b-8403-cbc551622d75
43a0f7ac-7765-4652-b72f-4b086e807e90,ecb76883-9cde-47bf-b90a-e394f24dc9ad
cc7cdb2a-7692-497b-9480-bee5cf53f712,2bab47cf-8ecc-4f0b-8403-cbc551622d75
cc7cdb2a-7692-497b-9480-bee5cf53f712,ecb76883-9cde-47bf-b90a-e394f24dc9ad
6d2fc767-79eb-47b8-84b7-a570f7eb1041,2bab47cf-8ecc-4f0b-8403-cbc551622d75
6d2fc767-79eb-47b8-84b7-a570f7eb1041,ecb76883-9cde-47bf-b90a-e394f24dc9ad
46ab245d-0186-4db4-867b-4ba21866352c,2ec07694-a273-4b8c-a6ae-7e3533193108
46ab245d-0186-4db4-867b-4ba21866352c,955aa7a9-3f1e-4bce-a0d6-9fb16cc1f2dd
46ab245d-0186-4db4-867b-4ba21866352c,4dd7f3b8-bc5c-4193-8fb1-7ffd5d0cd1d2
46ab245d-0186-4db4-867b-4ba21866352c,5e1bc537-2450-4be2-af40-a9aa1ca2e3a6
46ab245d-0186-4db4-867b-4ba21866352c,d705b22c-da16-4b34-9364-0b9737fe9797
46ab245d-0186-4db4-867b-4ba21866352c,f99a1591-fda0-417b-b226-096184ef783c
46ab245d-0186-4db4-867b-4ba21866352c,168b25fe-c479-45a0-8265-58e3d2e3921e
5d15a551-5b8f-4849-bca1-f6bb8a544964,512581e2-6c7d-433e-9e91-55dee4017a93
5d15a551-5b8f-4849-bca1-f6bb8a544964,7dac370f-851c-4554-80d2-6967ae0be890
7eed1729-a3ed-4db8-b46f-81e64b9c57d0,9ea6f732-324d-46d4-98fb-bc02d3e1b25d
7eed1729-a3ed-4db8-b46f-81e64b9c57d0,3fc66e08-948b-4b1b-b227-2cef2600daac
8f17a735-eb3f-4420-9dcf-2c0eb6fb49e9,9ea6f732-324d-46d4-98fb-bc02d3e1b25d
8f17a735-eb3f-4420-9dcf-2c0eb6fb49e9,3fc66e08-948b-4b1b-b227-2cef2600daac
d4150c03-c99e-4dd8-a1a6-5fa533702ec0,9ea6f732-324d-46d4-98fb-bc02d3e1b25d
d4150c03-c99e-4dd8-a1a6-5fa533702ec0,3fc66e08-948b-4b1b-b227-2cef2600daac
420b8531-8750-429c-a3a3-c60006a76270,9ea6f732-324d-46d4-98fb-bc02d3e1b25d
420b8531-8750-429c-a3a3-c60006a76270,3fc66e08-948b-4b1b-b227-2cef2600daac
d4fcb25d-a8d7-4e44-8dd0-a77da482c5c3,9ea6f732-324d-46d4-98fb-bc02d3e1b25d
d4fcb25d-a8d7-4e44-8dd0-a77da482c5c3,3fc66e08-948b-4b1b-b227-2cef2600daac
a5c2b02e-3d42-4612-8111-7d4673b1e3a9,9ea6f732-324d-46d4-98fb-bc02d3e1b25d
a5c2b02e-3d42-4612-8111-7d4673b1e3a9,3fc66e08-948b-4b1b-b227-2cef2600daac
2da48039-fc90-4afa-b885-8978f80f363a,9ea6f732-324d-46d4-98fb-bc02d3e1b25d
2da48039-fc90-4afa-b885-8978f80f363a,3fc66e08-948b-4b1b-b227-2cef2600daac
b6604fe9-3e89-4331-a248-36fd3ca62f82,5b7b87bf-6312-4e0f-86d2-4fa14ec6f1b5
b6604fe9-3e89-4331-a248-36fd3ca62f82,88a7bfe5-fac0-4dc8-8d84-678a0867cf19
b6604fe9-3e89-4331-a248-36fd3ca62f82,3c4a1b9d-edf8-4f0d-a5bd-73329a3a0e63
b6604fe9-3e89-4331-a248-36fd3ca62f82,55336de9-c68f-4fb6-94c9-65dff685ffbe
7bdb2586-5a6f-417b-a5f5-7ea7dc5bcc01,5b7b87bf-6312-4e0f-86d2-4fa14ec6f1b5
7bdb2586-5a6f-417b-a5f5-7ea7dc5bcc01,88a7bfe5-fac0-4dc8-8d84-678a0867cf19
7bdb2586-5a6f-417b-a5f5-7ea7dc5bcc01,3c4a1b9d-edf8-4f0d-a5bd-73329a3a0e63
7bdb2586-5a6f-417b-a5f5-7ea7dc5bcc01,55336de9-c68f-4fb6-94c9-65dff685ffbe
62ff7fac-6e79-422e-9e40-5bf5e2cfb98a,5b7b87bf-6312-4e0f-86d2-4fa14ec6f1b5
62ff7fac-6e79-422e-9e40-5bf5e2cfb98a,88a7bfe5-fac0-4dc8-8d84-678a0867cf19
62ff7fac-6e79-422e-9e40-5bf5e2cfb98a,3c4a1b9d-edf8-4f0d-a5bd-73329a3a0e63
62ff7fac-6e79-422e-9e40-5bf5e2cfb98a,55336de9-c68f-4fb6-94c9-65dff685ffbe
645b39b0-7974-4f3e-af6f-e6fa63d5d208,5b7b87bf-6312-4e0f-86d2-4fa14ec6f1b5
645b39b0-7974-4f3e-af6f-e6fa63d5d208,88a7bfe5-fac0-4dc8-8d84-678a0867cf19
645b39b0-7974-4f3e-af6f-e6fa63d5d208,3c4a1b9d-edf8-4f0d-a5bd-73329a3a0e63
645b39b0-7974-4f3e-af6f-e6fa63d5d208,55336de9-c68f-4fb6-94c9-65dff685ffbe
30e72ef3-9b61-4b7a-84aa-c965164de9d9,5b7b87bf-6312-4e0f-86d2-4fa14ec6f1b5
30e72ef3-9b61-4b7a-84aa-c965164de9d9,88a7bfe5-fac0-4dc8-8d84-678a0867cf19
30e72ef3-9b61-4b7a-84aa-c965164de9d9,3c4a1b9d-edf8-4f0d-a5bd-73329a3a0e63
30e72ef3-9b61-4b7a-84aa-c965164de9d9,55336de9-c68f-4fb6-94c9-65dff685ffbe
7d522a6e-c1b2-4224-ba24-e64404a1a186,5b7b87bf-6312-4e0f-86d2-4fa14ec6f1b5
7d522a6e-c1b2-4224-ba24-e64404a1a186,88a7bfe5-fac0-4dc8-8d84-678a0867cf19
7d522a6e-c1b2-4224-ba24-e64404a1a186,3c4a1b9d-edf8-4f0d-a5bd-73329a3a0e63
